Person Title,Person Buyer Segment,sub_category,broad_category
Security engineer,Security End User,Security Engineer,Security End User
Threat Monitoring Engineer,Security End User,Threat Monitoring Engineer,Security End User
Senior software engineer,Technology End User,Senior Software Engineer,Technology End User
SOFT ENGINEER / System Integration Test Engineer,Technology End User,System Test / Integration Engineer,Technology End User
BPS,Junk/Invalid,Bps Analyst,Security End User
TSE,Junk/Invalid,Sr. Tse,Technology End User
Ai Engineer,Technology End User,Ai Engineer,Technology End User
Senior Software Engineer ( Full Stack),Technology End User,Senior Software Engineer ( Full Stack),Technology End User
Software Engineer,Technology End User,Software Engineer,Technology End User
AI Developer,Data End User,Ai Developer,Data End User
Lead Database Engineer,Information End User,Lead Database Engineer,Information End User
Software Engineer,Technology End User,Software Engineer,Technology End User
DEVELOPER,Technology End User,Developer,Technology End User
Cloud Engineer,Technology End User,Cloud Engineer,Technology End User
Software Engineer,Technology End User,Software Engineer,Technology End User
PRODUCT MANAGER,Product Decision Maker,Product Manager,Product End User
CEO,Chief Executive,Assistante Ceo,Operations End User
Cloud Engineer,Technology End User,Cloud Engineer,Technology End User
Founder,Other Decision Maker,Founder,Technology End User
Manager - Security Solutions,Security End User,Manager - Security Solutions,Security End User
DATA SCIENTIST,Data End User,Data Scientist,Data End User
Assistant Lecturer - Programming Algorithms & Logic,Industry LOB - Edu End User,Cpo Programming Assistant,Product End User
Genai Consultant,Other End User,Consultant - Genai,Technology End User
Human Resources Executive,HR Executive,Am - It / Human Resources Executive,Information Decision Maker
Ai Solution Architect,Data End User,Ai Solution Architect,Data End User
Assistant Professor In Ai Law,Technology End User,Assistant Professor In Ai Law,Technology End User
??,Other End User,,
DEVELOPER,Technology End User,Developer,Technology End User
Software Engineer,Technology End User,Software Engineer,Technology End User
Machine Learning Engineer Level II,Technology End User,Machine Learning Engineer Level Ii,Technology End User
Pritam Debbarma,Junk/Invalid,,
Member of UNISSULA Robotics Team,Other End User,Robotics Member,Technology End User
SOC analyst,Security End User,Soc Analyst,Security End User
DEVELOPER,Technology End User,Developer,Technology End User
Amrith,Junk/Invalid,,
Software Engineer,Technology End User,Software Engineer,Technology End User
Founder,Other Decision Maker,Founder,Technology End User
DATA ENGINEER,Technology End User,Data Engineer,Technology End User
Cloud Engineer,Technology End User,Cloud Engineer,Technology End User
Lab Engineer,Technology End User,Lab Engineer,Technology End User
Sales Engineer,Sales End User,Big Data Sales Engineer,Technology End User
Founder,Other Decision Maker,Founder,Technology End User
Ai Ai,Other End User,Ai Ai,Data End User
Developer,Technology End User,Developer,Technology End User
DBA,Information Decision Maker,Dba,Information Decision Maker
Manager,Other Decision Maker,Manager,Technology End User
Sr Data engineer,Data End User,Sr Data Engineer,Data End User
Senior Software Engineer,Technology End User,Senior Software Engineer,Technology End User
Data Analyst,Data End User,Data Analyst,Data End User
Facilities Engineering Director,Operations Decision Maker,Director Engineering Facilities,Information Decision Maker
teknisi,Technology End User,It Teknisi,Information End User
Founder,Other Decision Maker,Founder,Technology End User
Key Account Manager,Sales End User,It Key Account Manager,Information Decision Maker
Digital Marketing Executive,Marketing Decision Maker,It Marketing Digital,Information End User
Ai Lecturer,Data End User,Ai Lecturer,Data End User
Owner,Other Decision Maker,Owner Operator,Operations End User
Engineer,Technology End User,Engineer,Technology End User
Researcher,Other End User,Dr Researcher,Technology End User
RPA Developer,Technology End User,Rpa Developer,Technology End User
Data scientist,Data End User,Data Scientist,Data End User
BNI,Junk/Invalid,Bni Informatics Dept,Information End User
TECHNICAL EXECUTIVE,Technology Executive,Executive It Technical Support,Information End User
Manager,Other Decision Maker,Manager,Technology End User
Founder,Other Executive,Founder,Technology End User
Team Lead Product Engineering,Product End User,Team Lead Product Engineering,Product End User
Data Graphics Designer,Data End User,Data Graphics Designer,Data End User
Onfinality,Junk/Invalid,,
Assistante Ceo,Operations End User,Assistante Ceo,Operations End User
Google Developer Expert,Technology End User,Google Developer Expert,Technology End User
偵查佐,Other End User,,
"Focus on IMC, Performance Marketing",Junk/Invalid,It Marketing,Information End User
Data engineer,Technology End User,Data Engineer,Technology End User
DATA SCIENTIST,Data End User,Data Scientist,Data End User
Senior Machine Learning Engineer,Technology End User,Senior Machine Learning Engineer,Technology End User
Digital marketing advisor and Anesthesia Technician,Junk/Invalid,Digital Marketing Advisor And Anesthesia Technician,Technology End User
Tech Lead,Technology End User,Tech Lead,Technology End User
BPS,Junk/Invalid,Bps Analyst,Security End User
Researcher,Other End User,Dr Researcher,Technology End User
Founder | Lead Product And Growth,Product End User,Founder | Lead Product And Growth,Product End User
Assistant Consultant,Other End User,Assistant Consultant - Iiot,Technology End User
Back End Developer,Technology End User,Back End Developer,Technology End User
